"","V1","V2"
"187",151,48
"188",48,114
"189",114,21
"190",21,89
"191",89,150
"192",150,77
"193",77,145
"194",145,45
"195",45,125
"196",125,10
"197",10,65
"198",65,133
"199",133,58
"200",58,138
"201",138,40
"202",40,95
"203",95,174
"204",174,104
"205",104,33
"206",33,130
"207",130,60
"208",60,165
"209",165,73
"210",73,151
"211",151,44
"212",44,129
"213",129,61
"214",61,164
"215",164,72
"216",72,158
"217",158,86
"218",86,139
"219",139,78
"220",78,144
"221",144,55
"222",55,119
"223",119,16
"224",16,80
"225",80,146
"226",146,48
"227",48,123
"228",123,39
"229",39,96
"230",96,169
"231",169,85
"232",85,140
"233",140,52
"234",52,122
"235",122,57
"236",57,146
"237",146,42
"238",42,147
"239",147,76
"240",76,157
"241",157,91
"242",91,25
"243",25,114
"244",114,35
"245",35,117
"246",117,18
"247",18,80
"248",80,143
"249",143,51
"250",51,117
"251",117,28
"252",28,107
"253",107,176
"254",176,93
"255",93,154
"256",154,69
"257",69,163
"258",163,62
"259",62,148
"260",148,48
"261",48,135
"262",135,64
"263",64,128
"264",128,50
"265",50,155
"266",155,82
"267",82,146
"268",146,65
"269",65,127
"270",127,8
"271",8,62
"272",62,128
"273",128,7
"274",7,59
"275",59,166
"276",166,80
"277",80,156
"278",156,98
"279",98,37
"280",37,136
"281",136,50
"282",50,113
"283",113,26
"284",26,109
"285",109,46
"286",46,146
"287",146,75
"288",75,160
"289",160,70
"290",70,157
"291",157,87
"292",87,138
"293",138,79
"294",79,163
"295",163,74
"296",74,153
"297",153,94
"298",94,41
"299",41,113
"300",113,24
"301",24,111
"302",111,21
"303",21,130
"304",130,35
"305",35,106
"306",106,33
"307",33,112
"308",112,23
"309",23,87
"310",87,162
"311",162,69
"312",69,159
"313",159,82
"314",82,142
"315",142,53
"316",53,134
"317",134,69
"318",69,14
"319",14,121
"320",121,58
"321",58,140
"322",140,39
"323",39,111
"324",111,52
"325",52,152
"326",152,47
"327",47,119
"328",119,28
"329",28,100
"330",100,29
"331",29,116
"332",116,19
"333",19,126
"334",126,9
"335",9,66
"336",66,132
"337",132,3
"338",3,103
"339",103,35
"340",35,124
"341",124,11
"342",11,64
"343",64,152
"344",152,87
"345",87,155
"346",155,46
"347",46,153
"348",153,51
"349",51,112
"350",112,47
"351",47,145
"352",145,83
"353",83,158
"354",158,75
"355",75,148
"356",148,69
"357",69,139
"358",139,77
"359",77,168
"360",168,75
"361",75,20
"362",20,131
"363",131,4
"364",4,57
"365",57,160
"366",160,73
"367",73,11
"368",11,114
"369",114,23
"370",23,142
"371",142,76
"372",76,145
"373",145,90
"374",90,149
"375",149,43
"376",43,105
"377",105,34
"378",34,131
"379",131,57
"380",57,127
"381",127,18
"382",18,134
"383",134,1
"384",1,104
"385",104,37
"386",37,113
"387",113,44
"388",44,146
"389",146,85
"390",85,19
"391",19,79
"392",79,167
"393",167,97
"394",97,154
"395",154,54
"396",54,117
"397",117,26
"398",26,90
"399",90,176
"400",176,113
"401",113,57
"402",57,8
"403",8,72
"404",72,161
"405",161,68
"406",68,15
"407",15,131
"408",131,60
"409",60,6
"410",6,129
"411",129,52
"412",52,137
"413",137,88
"414",88,154
"415",154,99
"416",99,39
"417",39,129
"418",129,22
"419",22,91
"420",91,144
"421",144,44
"422",44,126
"423",126,58
"424",58,162
"425",162,81
"426",81,171
"427",171,88
"428",88,160
"429",160,106
"430",106,173
"431",173,83
"432",83,156
"433",156,73
"434",73,18
"435",18,136
"436",136,89
"437",89,146
"438",146,28
"439",28,123
"440",123,49
"441",49,116
"442",116,55
"443",55,5
"444",5,130
"445",130,46
"446",46,104
"447",104,158
"448",158,73
"449",73,146
"450",146,31
"451",31,122
"452",122,15
"453",15,118
"454",118,33
"455",33,89
"456",89,23
"457",23,78
"458",78,140
"459",140,50
"460",50,158
"461",158,28
"462",28,95
"463",95,152
"464",152,75
"465",75,144
"466",144,94
"467",94,177
"468",177,98
"469",98,31
"470",31,102
"471",102,38
"472",38,125
"473",125,12
"474",12,72
"475",72,163
"476",163,71
"477",71,21
"478",21,92
"479",92,156
"480",156,77
"481",77,160
"482",160,108
"483",108,37
"484",37,137
"485",137,80
"486",80,151
"487",151,100
"488",100,153
"489",153,23
"490",23,120
"491",120,59
"492",59,8
"493",8,64
"494",64,163
"495",163,68
"496",68,151
"497",151,85
"498",85,149
"499",149,101
"500",101,41
"501",41,109
"502",109,176
"503",176,99
"504",99,174
"505",174,105
"506",105,17
"507",17,72
"508",72,157
"509",157,29
"510",29,138
"511",138,17
"512",17,124
"513",124,54
"514",54,6
"515",6,62
"516",62,12
"517",12,69
"518",69,160
"519",160,79
"520",79,150
"521",150,71
"522",71,160
"523",160,32
"524",32,119
"525",119,60
"526",60,116
"527",116,37
"528",37,128
"529",128,21
"530",21,155
"531",155,85
"532",85,142
"533",142,92
"534",92,43
"535",43,152
"536",152,77
"537",77,154
"538",154,22
"539",22,84
"540",84,157
"541",157,74
"542",74,159
"543",159,27
"544",27,116
"545",116,45
"546",45,0
"547",0,135
"548",135,44
"549",44,1
"550",1,122
"551",122,63
"552",63,10
"553",10,74
"554",74,149
"555",149,81
"556",81,142
"557",142,95
"558",95,160
"559",160,61
"560",61,13
"561",13,124
"562",124,46
"563",46,179
"564",179,96
"565",96,150
"566",150,65
"567",65,157
"568",157,109
"569",109,52
"570",52,162
"571",162,73
"572",73,7
"573",7,117
"574",117,36
"575",36,107
"576",107,0
"577",0,117
"578",117,48
"579",48,107
"580",107,158
"581",158,34
"582",34,125
"583",125,30
"584",30,101
"585",101,150
"586",150,92
"587",92,35
"588",35,97
"589",97,40
"590",40,131
"591",131,12
"592",12,65
"593",65,173
"594",173,100
"595",100,40
"596",40,112
"597",112,27
"598",27,148
"599",148,102
"600",102,172
"601",172,107
"602",107,15
"603",15,146
"604",146,93
"605",93,42
"606",42,3
"607",3,134
"608",134,91
"609",91,44
"610",44,104
"611",104,16
"612",16,67
"613",67,10
"614",10,116
"615",116,21
"616",21,70
"617",70,164
"618",164,77
"619",77,144
"620",144,85
"621",85,139
"622",139,24
"623",24,152
"624",152,60
"625",60,163
"626",163,110
"627",110,54
"628",54,115
"629",115,39
"630",39,139
"631",139,82
"632",82,27
"633",27,137
"634",137,21
"635",21,158
"636",158,71
"637",71,165
"638",165,76
"639",76,155
"640",155,74
"641",74,145
"642",145,79
"643",79,154
"644",154,48
"645",48,125
"646",125,32
"647",32,121
"648",121,54
"649",54,171
"650",171,108
"651",108,55
"652",55,170
"653",170,62
"654",62,11
"655",11,126
"656",126,31
"657",31,120
"658",120,13
"659",13,147
"660",147,81
"661",81,140
"662",140,26
"663",26,160
"664",160,83
"665",83,138
"666",138,6
"667",6,70
"668",70,8
"669",8,53
"670",53,156
"671",156,75
"672",75,154
"673",154,110
"674",110,50
"675",50,124
"676",124,27
"677",27,98
"678",98,41
"679",41,106
"680",106,13
"681",13,130
"682",130,23
"683",23,83
"684",83,148
"685",148,79
"686",79,143
"687",143,92
"688",92,133
"689",133,2
"690",2,43
"691",43,139
"692",139,87
"693",87,31
"694",31,110
"695",110,16
"696",16,64
"697",64,174
"698",174,85
"699",85,134
"700",134,28
"701",28,115
"702",115,56
"703",56,169
"704",169,76
"705",76,153
"706",153,80
"707",80,25
"708",25,141
"709",141,96
"710",96,41
"711",41,4
"712",4,126
"713",126,28
"714",28,155
"715",155,66
"716",66,13
"717",13,143
"718",143,16
"719",16,125
"720",125,53
"721",53,116
"722",116,33
"723",33,100
"724",100,38
"725",38,105
"726",105,32
"727",32,109
"728",109,155
"729",155,18
"730",18,68
"731",68,162
"732",162,112
"733",112,60
"734",60,14
"735",14,123
"736",123,55
"737",55,158
"738",158,77
"739",77,151
"740",151,91
"741",91,148
"742",148,12
"743",12,76
"744",76,21
"745",21,142
"746",142,87
"747",87,145
"748",145,63
"749",63,115
"750",115,36
"751",36,129
"752",129,10
"753",10,149
"754",149,77
"755",77,142
"756",142,98
"757",98,34
"758",34,113
"759",113,161
"760",161,70
"761",70,159
"762",159,33
"763",33,120
"764",120,37
"765",37,94
"766",94,131
"767",131,0
"768",0,125
"769",125,18
"770",18,106
"771",106,54
"772",54,133
"773",133,25
"774",25,160
"775",160,31
"776",31,143
"777",143,8
"778",8,51
"779",51,103
"780",103,45
"781",45,112
"782",112,38
"783",38,93
"784",93,132
"785",132,34
"786",34,129
"787",129,48
"788",48,111
"789",111,28
"790",28,121
"791",121,18
"792",18,86
"793",86,147
"794",147,30
"795",30,117
"796",117,38
"797",38,88
"798",88,156
"799",156,71
"800",71,15
"801",15,142
"802",142,80
"803",80,159
"804",159,68
"805",68,11
"806",11,147
"807",147,72
"808",72,167
"809",167,74
"810",74,161
"811",161,30
"812",30,136
"813",136,179
"814",179,69
"815",69,16
"816",16,129
"817",129,96
"818",96,36
"819",36,123
"820",123,62
"821",62,18
"822",18,66
"823",66,151
"824",151,26
"825",26,119
"826",119,40
"827",40,104
"828",104,50
"829",50,108
"830",108,156
"831",156,17
"832",17,135
"833",135,90
"834",90,139
"835",139,5
"836",5,53
"837",53,101
"838",101,144
"839",144,83
"840",83,152
"841",152,81
"842",81,157
"843",157,78
"844",78,135
"845",135,27
"846",27,158
"847",158,59
"848",59,125
"849",125,5
"850",5,40
"851",40,125
"852",125,23
"853",23,69
"854",69,7
"855",7,144
"856",144,89
"857",89,46
"858",46,111
"859",111,153
"860",153,18
"861",18,132
"862",132,11
"863",11,121
"864",121,34
"865",34,107
"866",107,39
"867",39,135
"868",135,87
"869",87,148
"870",148,98
"871",98,50
"872",50,162
"873",162,59
"874",59,118
"875",118,44
"876",44,97
"877",97,176
"878",176,87
"879",87,150
"880",150,9
"881",9,56
"882",56,106
"883",106,49
"884",49,160
"885",160,76
"886",76,159
"887",159,26
"888",26,138
"889",138,93
"890",93,173
"891",173,103
"892",103,55
"893",55,130
"894",130,95
"895",95,42
"896",42,112
"897",112,21
"898",21,85
"899",85,156
"900",156,79
"901",79,28
"902",28,83
"903",83,140
"904",140,22
"905",22,70
"906",70,153
"907",153,89
"908",89,141
"909",141,10
"910",10,50
"911",50,4
"912",4,69
"913",69,161
"914",161,25
"915",25,122
"916",122,35
"917",35,157
"918",157,16
"919",16,140
"920",140,102
"921",102,52
"922",52,119
"923",119,36
"924",36,85
"925",85,148
"926",148,106
"927",106,156
"928",156,101
"929",101,176
"930",176,126
"931",126,13
"932",13,63
"933",63,149
"934",149,72
"935",72,19
"936",19,67
"937",67,12
"938",12,146
"939",146,100
"940",100,54
"941",54,3
"942",3,71
"943",71,152
"944",152,112
"945",112,178
"946",178,47
"947",47,110
"948",110,35
"949",35,140
"950",140,87
"951",87,167
"952",167,58
"953",58,6
"954",6,119
"955",119,29
"956",29,102
"957",102,42
"958",42,120
"959",120,176
"960",176,111
"961",111,32
"962",32,131
"963",131,89
"964",89,138
"965",138,3
"966",3,128
"967",128,41
"968",41,124
"969",124,32
"970",32,115
"971",115,43
"972",43,96
"973",96,47
"974",47,88
"975",88,146
"976",146,26
"977",26,123
"978",123,16
"979",16,79
"980",79,152
"981",152,19
"982",19,59
"983",59,109
"984",109,38
"985",38,98
"986",98,0
"987",0,123
"988",123,10
"989",10,135
"990",135,51
"991",51,157
"992",157,66
"993",66,121
"994",121,77
"995",77,153
"996",153,63
"997",63,17
"998",17,65
"999",65,119
"1000",119,12
"1001",12,74
"1002",74,165
"1003",165,72
"1004",72,16
"1005",16,145
"1006",145,84
"1007",84,151
"1008",151,82
"1009",82,145
"1010",145,103
"1011",103,178
"1012",178,137
"1013",137,91
"1014",91,40
"1015",40,106
"1016",106,1
"1017",1,130
"1018",130,31
"1019",31,114
"1020",114,27
"1021",27,120
"1022",120,160
"1023",160,74
"1024",74,140
"1025",140,8
"1026",8,151
"1027",151,98
"1028",98,45
"1029",45,90
"1030",90,41
"1031",41,116
"1032",116,13
"1033",13,73
"1034",73,164
"1035",164,75
"1036",75,22
"1037",22,157
"1038",157,97
"1039",97,32
"1040",32,129
"1041",129,175
"1042",175,114
"1043",114,59
"1044",59,13
"1045",13,133
"1046",133,19
"1047",19,109
"1048",109,48
"1049",48,87
"1050",87,147
"1051",147,10
"1052",10,137
"1053",137,77
"1054",77,127
"1055",127,20
"1056",20,58
"1057",58,161
"1058",161,71
"1059",71,9
"1060",9,148
"1061",148,80
"1062",80,157
"1063",157,62
"1064",62,19
"1065",19,158
"1066",158,85
"1067",85,127
"1068",127,10
"1069",10,72
"1070",72,28
"1071",28,99
"1072",99,138
"1073",138,103
"1074",103,155
"1075",155,78
"1076",78,151
"1077",151,113
"1078",113,18
"1079",18,71
"1080",71,166
"1081",166,73
"1082",73,150
"1083",150,105
"1084",105,45
"1085",45,94
"1086",94,33
"1087",33,108
"1088",108,14
"1089",14,67
"1090",67,24
"1091",24,135
"1092",135,93
"1093",93,140
"1094",140,2
"1095",2,72
"1096",72,138
"1097",138,85
"1098",85,33
"1099",33,122
"1100",122,19
"1101",19,55
"1102",55,7
"1103",7,61
"1104",61,143
"1105",143,10
"1106",10,139
"1107",139,80
"1108",80,125
"1109",125,36
"1110",36,101
"1111",101,37
"1112",37,110
"1113",110,146
"1114",146,6
"1115",6,39
"1116",39,92
"1117",92,136
"1118",136,4
"1119",4,52
"1120",52,15
"1121",15,155
"1122",155,89
"1123",89,143
"1124",143,64
"1125",64,155
"1126",155,56
"1127",56,122
"1128",122,80
"1129",80,141
"1130",141,3
"1131",3,121
"1132",121,24
"1133",24,162
"1134",162,116
"1135",116,25
"1136",25,144
"1137",144,30
"1138",30,123
"1139",123,173
"1140",173,127
"1141",127,178
"1142",178,68
"1143",68,13
"1144",13,50
"1145",50,19
"1146",19,64
"1147",64,117
"1148",117,58
"1149",58,108
"1150",108,45
"1151",45,148
"1152",148,108
"1153",108,178
"1154",178,99
"1155",99,46
"1156",46,93
"1157",93,34
"1158",34,161
"1159",161,62
"1160",62,15
"1161",15,128
"1162",128,97
"1163",97,37
"1164",37,106
"1165",106,169
"1166",169,80
"1167",80,150
"1168",150,114
"1169",114,45
"1170",45,4
"1171",4,68
"1172",68,25
"1173",25,118
"1174",118,35
"1175",35,160
"1176",160,98
"1177",98,134
"1178",134,94
"1179",94,162
"1180",162,32
"1181",32,142
"1182",142,73
"1183",73,161
"1184",161,84
"1185",84,147
"1186",147,64
"1187",64,140
"1188",140,98
"1189",98,8
"1190",8,149
"1191",149,20
"1192",20,87
"1193",87,136
"1194",136,8
"1195",8,37
"1196",37,124
"1197",124,21
"1198",21,57
"1199",57,168
"1200",168,82
"1201",82,153
"1202",153,73
"1203",73,135
"1204",135,16
"1205",16,58
"1206",58,10
"1207",10,60
"1208",60,110
"1209",110,44
"1210",44,100
"1211",100,157
"1212",157,77
"1213",77,163
"1214",163,30
"1215",30,120
"1216",120,83
"1217",83,150
"1218",150,14
"1219",14,54
"1220",54,113
"1221",113,155
"1222",155,80
"1223",80,132
"1224",132,39
"1225",39,103
"1226",103,43
"1227",43,117
"1228",117,160
"1229",160,67
"1230",67,156
"1231",156,23
"1232",23,71
"1233",71,1
"1234",1,110
"1235",110,30
"1236",30,81
"1237",81,119
"1238",119,178
"1239",178,131
"1240",131,25
"1241",25,57
"1242",57,105
"1243",105,36
"1244",36,111
"1245",111,145
"1246",145,95
"1247",95,38
"1248",38,7
"1249",7,63
"1250",63,9
"1251",9,76
"1252",76,167
"1253",167,122
"1254",122,156
"1255",156,110
"1256",110,6
"1257",6,96
"1258",96,146
"1259",146,71
"1260",71,7
"1261",7,118
"1262",118,31
"1263",31,69
"1264",69,157
"1265",157,25
"1266",25,148
"1267",148,58
"1268",58,12
"1269",12,53
"1270",53,162
"1271",162,79
"1272",79,170
"1273",170,77
"1274",77,17
"1275",17,70
"1276",70,25
"1277",25,126
"1278",126,99
"1279",99,133
"1280",133,88
"1281",88,142
"1282",142,91
"1283",91,178
"1284",178,121
"1285",121,159
"1286",159,105
"1287",105,0
"1288",0,115
"1289",115,26
"1290",26,62
"1291",62,137
"1292",137,84
"1293",84,143
"1294",143,74
"1295",74,24
"1296",24,89
"1297",89,128
"1298",128,176
"1299",176,66
"1300",66,34
"1301",34,117
"1302",117,151
"1303",151,95
"1304",95,48
"1305",48,177
"1306",177,138
"1307",138,76
"1308",76,162
"1309",162,106
"1310",106,46
"1311",46,6
"1312",6,75
"1313",75,13
"1314",13,154
"1315",154,86
"1316",86,143
"1317",143,71
"1318",71,33
"1319",33,128
"1320",128,19
"1321",19,69
"1322",69,124
"1323",124,90
"1324",90,152
"1325",152,7
"1326",7,52
"1327",52,105
"1328",105,137
"1329",137,13
"1330",13,57
"1331",57,151
"1332",151,107
"1333",107,44
"1334",44,115
"1335",115,80
"1336",80,161
"1337",161,96
"1338",96,52
"1339",52,21
"1340",21,81
"1341",81,154
"1342",154,30
"1343",30,119
"1344",119,162
"1345",162,93
"1346",93,147
"1347",147,61
"1348",61,5
"1349",5,44
"1350",44,11
"1351",11,128
"1352",128,59
"1353",59,3
"1354",3,48
"1355",48,100
"1356",100,125
"1357",125,175
"1358",175,140
"1359",140,79
"1360",79,172
"1361",172,132
"1362",132,0
"1363",0,70
"1364",70,34
"1365",34,127
"1366",127,98
"1367",98,173
"1368",173,112
"1369",112,29
"1370",29,71
"1371",71,164
"1372",164,87
"1373",87,39
"1374",39,110
"1375",110,178
"1376",178,116
"1377",116,148
"1378",148,21
"1379",21,74
"1380",74,14
"1381",14,71
"1382",71,157
"1383",157,82
"1384",82,163
"1385",163,92
"1386",92,130
"1387",130,10
"1388",10,55
"1389",55,112
"1390",112,37
"1391",37,84
"1392",84,155
"1393",155,73
"1394",73,168
"1395",168,86
"1396",86,49
"1397",49,0
"1398",0,111
"1399",111,61
"1400",61,103
"1401",103,47
"1402",47,4
"1403",4,142
"1404",142,90
"1405",90,132
"1406",132,87
"1407",87,25
"1408",25,66
"1409",66,20
"1410",20,157
"1411",157,58
"1412",58,26
"1413",26,106
"1414",106,152
"1415",152,86
"1416",86,133
"1417",133,77
"1418",77,166
"1419",166,117
"1420",117,145
"1421",145,98
"1422",98,55
"1423",55,4
"1424",4,74
"1425",74,134
"1426",134,14
"1427",14,49
"1428",49,156
"1429",156,27
"1430",27,56
"1431",56,22
"1432",22,136
"1433",136,82
"1434",82,171
"1435",171,101
"1436",101,124
"1437",124,162
"1438",162,128
"1439",128,82
"1440",82,149
"1441",149,88
"1442",88,18
"1443",18,139
"1444",139,176
"1445",176,117
"1446",117,14
"1447",14,64
"1448",64,35
"1449",35,108
"1450",108,142
"1451",142,65
"1452",65,9
"1453",9,36
"1454",36,127
"1455",127,90
"1456",90,168
"1457",168,79
"1458",79,164
"1459",164,116
"1460",116,35
"1461",35,10
"1462",10,145
"1463",145,73
"1464",73,159
"1465",159,56
"1466",56,104
"1467",104,176
"1468",176,96
"1469",96,29
"1470",29,128
"1471",128,68
"1472",68,32
"1473",32,76
"1474",76,158
"1475",158,68
"1476",68,38
"1477",38,106
"1478",106,175
"1479",175,65
"1480",65,108
"1481",108,154
"1482",154,121
"1483",121,93
"1484",93,126
"1485",126,17
"1486",17,110
"1487",110,140
"1488",140,68
"1489",68,153
"1490",153,85
"1491",85,16
"1492",16,54
"1493",54,138
"1494",138,11
"1495",11,34
"1496",34,133
"1497",133,6
"1498",6,56
"1499",56,120
"1500",120,4
"1501",4,37
"1502",37,69
"1503",69,11
"1504",11,103
"1505",103,28
"1506",28,138
"1507",138,81
"1508",81,158
"1509",158,44
"1510",44,16
"1511",16,71
"1512",71,137
"1513",137,95
"1514",95,58
"1515",58,144
"1516",144,72
"1517",72,40
"1518",40,101
"1519",101,32
"1520",32,88
"1521",88,163
"1522",163,75
"1523",75,139
"1524",139,42
"1525",42,99
"1526",99,147
"1527",147,109
"1528",109,13
"1529",13,129
"1530",129,172
"1531",172,53
"1532",53,20
"1533",20,82
"1534",82,117
"1535",117,158
"1536",158,17
"1537",17,154
"1538",154,51
"1539",51,2
"1540",2,137
"1541",137,101
"1542",101,0
"1543",0,143
"1544",143,97
"1545",97,25
"1546",25,72
"1547",72,22
"1548",22,112
"1549",112,10
"1550",10,152
"1551",152,102
"1552",102,170
"1553",170,130
"1554",130,77
"1555",77,116
"1556",116,85
"1557",85,50
"1558",50,148
"1559",148,63
"1560",63,38
"1561",38,116
"1562",116,31
"1563",31,100
"1564",100,135
"1565",135,5
"1566",5,148
"1567",148,89
"1568",89,157
"1569",157,118
"1570",118,149
"1571",149,68
"1572",68,20
"1573",20,151
"1574",151,125
"1575",125,62
"1576",62,33
"1577",33,12
"1578",12,77
"1579",77,8
"1580",8,43
"1581",43,109
"1582",109,162
"1583",162,91
"1584",91,123
"1585",123,102
"1586",102,46
"1587",46,1
"1588",1,52
"1589",52,115
"1590",115,146
"1591",146,67
"1592",67,150
"1593",150,93
"1594",93,155
"1595",155,96
"1596",96,45
"1597",45,7
"1598",7,106
"1599",106,31
"1600",31,165
"1601",165,78
"1602",78,153
"1603",153,92
"1604",92,139
"1605",139,111
"1606",111,165
"1607",165,86
"1608",86,175
"1609",175,121
"1610",121,145
"1611",145,60
"1612",60,18
"1613",18,84
"1614",84,167
"1615",167,81
"1616",81,26
"1617",26,52
"1618",52,133
"1619",133,96
"1620",96,164
"1621",164,69
"1622",69,26
"1623",26,77
"1624",77,22
"1625",22,49
"1626",49,152
"1627",152,124
"1628",124,78
"1629",78,18
"1630",18,152
"1631",152,93
"1632",93,23
"1633",23,135
"1634",135,106
"1635",106,63
"1636",63,172
"1637",172,85
"1638",85,166
"1639",166,75
"1640",75,41
"1641",41,71
"1642",71,36
"1643",36,133
"1644",133,21
"1645",21,64
"1646",64,4
"1647",4,124
"1648",124,58
"1649",58,129
"1650",129,72
"1651",72,114
"1652",114,162
"1653",162,101
"1654",101,14
"1655",14,156
"1656",156,120
"1657",120,96
"1658",96,31
"1659",31,77
"1660",77,46
"1661",46,9
"1662",9,73
"1663",73,32
"1664",32,57
"1665",57,9
"1666",9,153
"1667",153,104
"1668",104,136
"1669",136,64
"1670",64,150
"1671",150,86
"1672",86,145
"1673",145,24
"1674",24,63
"1675",63,138
"1676",138,0
"1677",0,129
"1678",129,87
"1679",87,144
"1680",144,66
"1681",66,116
"1682",116,5
"1683",5,48
"1684",48,23
"1685",23,160
"1686",160,132
"1687",132,107
"1688",107,161
"1689",161,86
"1690",86,157
"1691",157,79
"1692",79,128
"1693",128,88
"1694",88,173
"1695",173,118
"1696",118,3
"1697",3,125
"1698",125,155
"1699",155,52
"1700",52,28
"1701",28,2
"1702",2,39
"1703",39,62
"1704",62,9
"1705",9,42
"1706",42,88
"1707",88,158
"1708",158,66
"1709",66,104
"1710",104,149
"1711",149,59
"1712",59,12
"1713",12,98
"1714",98,163
"1715",163,78
"1716",78,169
"1717",169,92
"1718",92,122
"1719",122,60
"1720",60,101
"1721",101,142
"1722",142,11
"1723",11,56
"1724",56,18
"1725",18,74
"1726",74,37
"1727",37,65
"1728",65,134
"1729",134,79
"1730",79,113
"1731",113,8
"1732",8,58
"1733",58,77
"1734",77,15
"1735",15,70
"1736",70,147
"1737",147,90
"1738",90,115
"1739",115,160
"1740",160,37
"1741",37,90
"1742",90,20
"1743",20,37
"1744",37,107
"1745",107,143
"1746",143,46
"1747",46,68
"1748",68,173
"1749",173,82
"1750",82,165
"1751",165,93
"1752",93,31
"1753",31,179
"1754",179,112
"1755",112,142
"1756",142,118
"1757",118,28
"1758",28,54
"1759",54,162
"1760",162,148
"1761",148,97
"1762",97,162
"1763",162,140
"1764",140,70
"1765",70,85
"1766",85,170
"1767",170,83
"1768",83,34
"1769",34,80
"1770",80,149
"1771",149,94
"1772",94,125
"1773",125,26
"1774",26,95
"1775",95,164
"1776",164,83
"1777",83,146
"1778",146,106
"1779",106,75
"1780",75,36
"1781",36,5
"1782",5,60
"1783",60,135
"1784",135,83
"1785",83,40
"1786",40,137
"1787",137,114
"1788",114,177
"1789",177,67
"1790",67,157
"1791",157,103
"1792",103,122
"1793",122,176
"1794",176,91
"1795",91,166
"1796",166,125
"1797",125,148
"1798",148,155
"1799",155,160
"1800",160,102
"1801",102,158
"1802",158,110
"1803",110,144
"1804",144,9
"1805",9,59
"1806",59,30
"1807",30,1
"1808",1,67
"1809",67,27
"1810",27,117
"1811",117,108
"1812",108,73
"1813",73,82
"1814",82,12
"1815",12,111
"1816",111,53
"1817",53,18
"1818",18,42
"1819",42,31
"1820",31,58
"1821",58,115
"1822",115,157
"1823",157,123
"1824",123,163
"1825",163,27
"1826",27,73
"1827",73,131
"1828",131,173
"1829",173,80
"1830",80,20
"1831",20,13
"1832",13,32
"1833",32,90
"1834",90,140
"1835",140,148
"1836",148,46
"1837",46,25
"1838",25,143
"1839",143,5
"1840",5,50
"1841",50,179
"1842",179,130
"1843",130,162
"1844",162,153
"1845",153,16
"1846",16,78
"1847",78,149
"1848",149,16
"1849",16,76
"1850",76,59
"1851",59,34
"1852",34,109
"1853",109,3
"1854",3,73
"1855",73,88
"1856",88,169
"1857",169,99
"1858",99,150
"1859",150,119
"1860",119,0
"1861",0,103
"1862",103,168
"1863",168,93
"1864",93,40
"1865",40,58
"1866",58,4
"1867",4,17
"1868",17,67
"1869",67,159
"1870",159,89
"1871",89,174
"1872",174,112
